metric,group_var,group_level,estimate,se,ci_lower95,ci_upper95,n_unweighted_nonmissing
ebac_tot_mean,physical_health,Excellent,0.14087980735469297,0.0024334699384449274,0.13611029391788002,0.14564932079150592,2682
ebac_tot_mean,physical_health,Very Good,0.1450095519607929,0.0013608916210610797,0.14234225339665085,0.14767685052493496,7925
ebac_tot_mean,physical_health,Good,0.1434414305388662,0.0013082263103503678,0.14087735408695176,0.14600550699078066,8407
ebac_tot_mean,physical_health,Fair,0.1395839700420195,0.002276417307268436,0.1351222741059897,0.1440456659780493,2774
ebac_tot_mean,physical_health,Poor,0.14206021679035774,0.00557856301077037,0.1311264342037605,0.152993999376955,495
ebac_tot_mean,sexual_orientation_dvdemq02,Heterosexual,0.14396114999473797,9.455395594992237e-4,0.14210792651216161,0.14581437347731432,16600
ebac_tot_mean,sexual_orientation_dvdemq02,Other,0.14389043409567154,0.001675195272750147,0.1406071116940095,0.14717375649733358,5099
ebac_tot_mean,ethnicity_dvdemq6,Black,0.10440770291734826,0.004852764833884289,0.09489645861749256,0.11391894721720396,447
ebac_tot_mean,ethnicity_dvdemq6,East/Southeast Asian,0.11149899001091769,0.003192634083374712,0.10524154219168821,0.11775643783014716,1224
ebac_tot_mean,ethnicity_dvdemq6,"Indigenous (First Nations, Metis, Inuk/Inuit descent)",0.16740146319862803,0.00840160534050216,0.15093461931892443,0.18386830707833163,265
ebac_tot_mean,ethnicity_dvdemq6,"Latino (Latin American, Hispanic descent)",0.1155117293438363,0.004125368368319471,0.10742615591896937,0.12359730276870323,557
ebac_tot_mean,ethnicity_dvdemq6,Middle Eastern,0.11736539078577407,0.005349278141836758,0.10688099828448669,0.12784978328706145,447
ebac_tot_mean,ethnicity_dvdemq6,South Asian,0.1196381573934319,0.0038333659995256294,0.11212489809480128,0.1271514166920625,667
ebac_tot_mean,ethnicity_dvdemq6,White,0.149798601006573,9.45309330634004e-4,0.1479458287642807,0.1516513732488653,16820
ebac_tot_mean,ethnicity_dvdemq6,Other/Multiple,0.14241765145401145,0.0031114842948860425,0.1363192542975728,0.1485160486104501,1558
